asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
mnq,3147,1323,1016,808,42.0,-0.029,-0.029,-1.6,656.4,0.3,1.5,2.0,12,both,"0,4,8,12,16,20"
mnq,1857,715,616,526,38.5,-0.152,-0.152,-6.57,387.4,0.3,1.5,2.0,12,long,"0,4,8,12,16,20"
mnq,1290,608,400,282,47.1,0.15,0.15,5.37,269.1,0.3,1.5,2.0,12,short,"0,4,8,12,16,20"
mnq,1446,752,410,284,52.0,0.32,0.32,12.18,301.6,0.4,1.5,2.0,12,both,"0,4,8,12,16,20"
mnq,815,410,245,160,50.3,0.261,0.261,7.44,170.0,0.4,1.5,2.0,12,long,"0,4,8,12,16,20"
mnq,631,342,165,124,54.2,0.397,0.397,9.97,131.6,0.4,1.5,2.0,12,short,"0,4,8,12,16,20"
mnq,342,217,59,66,63.5,0.721,0.721,13.33,71.3,0.5,1.5,2.0,12,both,"0,4,8,12,16,20"
mnq,165,106,22,37,64.2,0.748,0.748,9.61,34.4,0.5,1.5,2.0,12,long,"0,4,8,12,16,20"
mnq,177,111,37,29,62.7,0.695,0.695,9.25,36.9,0.5,1.5,2.0,12,short,"0,4,8,12,16,20"
mnq,3826,1809,1365,652,47.3,0.155,0.155,9.58,798.1,0.0,1.5,2.0,16,both,"0,4,8,12,16,20"
mnq,2229,1010,836,383,45.3,0.086,0.086,4.06,465.0,0.0,1.5,2.0,16,long,"0,4,8,12,16,20"
mnq,1597,799,529,269,50.0,0.251,0.251,10.03,333.1,0.0,1.5,2.0,16,short,"0,4,8,12,16,20"
mnq,3826,1809,1365,652,47.3,0.155,0.155,9.58,798.1,0.1,1.5,2.0,16,both,"0,4,8,12,16,20"
mnq,2229,1010,836,383,45.3,0.086,0.086,4.06,465.0,0.1,1.5,2.0,16,long,"0,4,8,12,16,20"
mnq,1597,799,529,269,50.0,0.251,0.251,10.03,333.1,0.1,1.5,2.0,16,short,"0,4,8,12,16,20"
mnq,3821,1807,1364,650,47.3,0.155,0.155,9.59,797.0,0.2,1.5,2.0,16,both,"0,4,8,12,16,20"
mnq,2226,1008,836,382,45.3,0.085,0.085,4.01,464.3,0.2,1.5,2.0,16,long,"0,4,8,12,16,20"
mnq,1595,799,528,268,50.1,0.253,0.253,10.12,332.7,0.2,1.5,2.0,16,short,"0,4,8,12,16,20"
mnq,3147,1518,1139,490,48.2,0.188,0.188,10.56,656.4,0.3,1.5,2.0,16,both,"0,4,8,12,16,20"
mnq,1857,856,699,302,46.1,0.113,0.113,4.88,387.4,0.3,1.5,2.0,16,long,"0,4,8,12,16,20"
mnq,1290,662,440,188,51.3,0.296,0.296,10.64,269.1,0.3,1.5,2.0,16,short,"0,4,8,12,16,20"
mnq,1446,822,432,192,56.8,0.49,0.49,18.62,301.6,0.4,1.5,2.0,16,both,"0,4,8,12,16,20"
mnq,815,456,257,102,56.0,0.458,0.458,13.08,170.0,0.4,1.5,2.0,16,long,"0,4,8,12,16,20"
mnq,631,366,175,90,58.0,0.53,0.53,13.32,131.6,0.4,1.5,2.0,16,short,"0,4,8,12,16,20"
mnq,342,236,68,38,69.0,0.915,0.915,16.93,71.3,0.5,1.5,2.0,16,both,"0,4,8,12,16,20"
mnq,165,118,27,20,71.5,1.003,1.003,12.88,34.4,0.5,1.5,2.0,16,long,"0,4,8,12,16,20"
mnq,177,118,41,18,66.7,0.833,0.833,11.09,36.9,0.5,1.5,2.0,16,short,"0,4,8,12,16,20"
mnq,3826,2024,1530,272,52.9,0.352,0.352,21.74,798.1,0.0,1.5,2.0,24,both,"0,4,8,12,16,20"
mnq,2229,1150,928,151,51.6,0.306,0.306,14.43,465.0,0.0,1.5,2.0,24,long,"0,4,8,12,16,20"
mnq,1597,874,602,121,54.7,0.415,0.415,16.6,333.1,0.0,1.5,2.0,24,short,"0,4,8,12,16,20"
mnq,3826,2024,1530,272,52.9,0.352,0.352,21.74,798.1,0.1,1.5,2.0,24,both,"0,4,8,12,16,20"
mnq,2229,1150,928,151,51.6,0.306,0.306,14.43,465.0,0.1,1.5,2.0,24,long,"0,4,8,12,16,20"
mnq,1597,874,602,121,54.7,0.415,0.415,16.6,333.1,0.1,1.5,2.0,24,short,"0,4,8,12,16,20"
mnq,3821,2022,1528,271,52.9,0.352,0.352,21.77,797.0,0.2,1.5,2.0,24,both,"0,4,8,12,16,20"
mnq,2226,1148,927,151,51.6,0.305,0.305,14.39,464.3,0.2,1.5,2.0,24,long,"0,4,8,12,16,20"
mnq,1595,874,601,120,54.8,0.418,0.418,16.69,332.7,0.2,1.5,2.0,24,short,"0,4,8,12,16,20"
