asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
cl,4055,684,2573,798,16.9,-0.078,-0.078,-4.99,845.9,0.1,0.5,2.0,6,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,7442,1338,4531,1573,18.0,-0.051,-0.051,-4.36,1552.4,0.2,0.5,2.0,6,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,3396,654,1960,782,19.3,-0.019,-0.019,-1.08,708.4,0.2,0.5,2.0,6,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,4046,684,2571,791,16.9,-0.077,-0.077,-4.92,844.0,0.2,0.5,2.0,6,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,6484,1316,4061,1107,20.3,0.007,0.007,0.6,1352.5,0.3,0.5,2.0,6,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,2857,644,1699,514,22.5,0.064,0.064,3.4,596.0,0.3,0.5,2.0,6,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,3627,672,2362,593,18.5,-0.037,-0.037,-2.22,756.6,0.3,0.5,2.0,6,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,4450,1035,2884,531,23.3,0.081,0.081,5.43,928.2,0.4,0.5,2.0,6,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,1887,504,1148,235,26.7,0.168,0.168,7.29,393.6,0.4,0.5,2.0,6,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,2563,531,1736,296,20.7,0.018,0.018,0.91,534.6,0.4,0.5,2.0,6,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,1631,415,996,220,25.4,0.136,0.136,5.5,340.2,0.5,0.5,2.0,6,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,639,202,342,95,31.6,0.29,0.29,7.34,133.3,0.5,0.5,2.0,6,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,992,213,654,125,21.5,0.037,0.037,1.16,206.9,0.5,0.5,2.0,6,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,7473,1427,4630,1416,19.1,-0.023,-0.023,-1.95,1558.8,0.0,0.5,2.0,8,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,3418,704,2005,709,20.6,0.015,0.015,0.87,713.0,0.0,0.5,2.0,8,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,4055,723,2625,707,17.8,-0.054,-0.054,-3.45,845.9,0.0,0.5,2.0,8,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,7473,1427,4630,1416,19.1,-0.023,-0.023,-1.95,1558.8,0.1,0.5,2.0,8,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,3418,704,2005,709,20.6,0.015,0.015,0.87,713.0,0.1,0.5,2.0,8,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,4055,723,2625,707,17.8,-0.054,-0.054,-3.45,845.9,0.1,0.5,2.0,8,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
cl,7442,1427,4617,1398,19.2,-0.021,-0.021,-1.78,1552.4,0.2,0.5,2.0,8,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
