combo,n,wr_1h,edge_1h,wr_4h,edge_4h
es_btc_discordam_mnq + open_4h_acima_4h_ant_mnq + open_d_acima_d_ant_cl,133,0.3458646616541353,0.09970821630863777,0.7142857142857143,0.04086114932541696
es_mnq_oposto + open_1h_acima_close_ant_es + above_sma50_es,217,0.3456221198156682,0.09946567447017066,0.7741935483870968,0.10076898342679941
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + open_d_acima_d_ant_btc,174,0.3448275862068966,0.09867114086139903,0.735632183908046,0.06220761894774862
es_btc_discordam_mnq + rsi_mnq_acima_60 + open_d_acima_d_ant_mnq,105,0.34285714285714286,0.09670069751164531,0.8,0.1265754350397027
es_btc_discordam_mnq + rsi_cl_abaixo_40 + above_sma50_btc,38,0.34210526315789475,0.0959488178123972,0.7631578947368421,0.0897333297765448
es_btc_discordam_mnq + rsi_cl_abaixo_40 + open_4h_acima_4h_ant_es,38,0.34210526315789475,0.0959488178123972,0.6842105263157895,0.010785961355492146
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + open_w_acima_w_ant_cl,155,0.3419354838709677,0.09577903852547018,0.7870967741935484,0.11367220923325105
es_btc_discordam_mnq + open_d_acima_d_ant_es + above_ema20_es,161,0.3416149068322981,0.09545846148680057,0.7639751552795031,0.09055059031920576
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + open_d_acima_d_ant_mnq,177,0.3389830508474576,0.09282660550196006,0.7231638418079096,0.04973927684761226
es_btc_discordam_mnq + rsi_mnq_acima_60 + open_d_acima_d_ant_cl,74,0.33783783783783783,0.09168139249234028,0.7702702702702703,0.09684570530997294
es_mnq_oposto + open_d_acima_d_ant_cl + is_us,225,0.3377777777777778,0.09162133243228024,0.7688888888888888,0.0954643239285915
es_mnq_oposto + open_d_acima_d_ant_cl + above_sma50_es,314,0.3375796178343949,0.09142317248889734,0.7515923566878981,0.0781677917276008
es_btc_discordam_mnq + open_4h_acima_4h_ant_mnq + open_d_acima_d_ant_es,160,0.3375,0.09134355465450247,0.71875,0.045325435039702655
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + open_d_acima_d_ant_es,169,0.33727810650887574,0.09112166116337819,0.7041420118343196,0.030717446874022225
es_btc_discordam_mnq + open_d_acima_d_ant_cl + open_w_acima_w_ant_es,89,0.33707865168539325,0.0909222063398957,0.7078651685393258,0.03444060357902845
es_mnq_oposto + open_d_acima_d_ant_cl + above_ema20_mnq,309,0.3365695792880259,0.09041313394252834,0.7443365695792881,0.07091200461899072
es_mnq_oposto + above_ema20_mnq + is_us,318,0.33647798742138363,0.09032154207588608,0.7610062893081762,0.08758172434787881
es_btc_discordam_mnq + open_d_acima_d_ant_es + above_ema20_cl,122,0.3360655737704918,0.08990912842499424,0.7377049180327869,0.06428035307248958
es_btc_discordam_mnq + above_ema20_mnq + is_us,137,0.3357664233576642,0.08960997801216666,0.7591240875912408,0.08569952263094349
es_mnq_oposto + open_1h_acima_close_ant_es + open_4h_acima_4h_ant_cl,161,0.33540372670807456,0.08924728136257701,0.7142857142857143,0.04086114932541696
es_mnq_oposto + above_ema20_es + is_us,323,0.33436532507739936,0.08820887973190181,0.7523219814241486,0.07889741646385129
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_ema20_mnq,186,0.3333333333333333,0.08717688798783577,0.7526881720430108,0.0792636070827134
es_mnq_oposto + rsi_mnq_acima_60 + is_us,159,0.3333333333333333,0.08717688798783577,0.7672955974842768,0.09387103252397944
es_btc_discordam_mnq + rsi_cl_acima_60 + open_4h_acima_4h_ant_mnq,60,0.3333333333333333,0.08717688798783577,0.7333333333333333,0.05990876837303594
rsi_mnq_abaixo_40 + above_ema20_es + above_ema20_cl,12,0.3333333333333333,0.08717688798783577,0.9166666666666666,0.24324210170636928
es_btc_discordam_mnq + open_d_acima_d_ant_btc + is_us,129,0.3333333333333333,0.08717688798783577,0.7054263565891473,0.032001791628849974
es_btc_discordam_mnq + open_4h_acima_4h_ant_mnq + open_d_acima_d_ant_mnq,177,0.3333333333333333,0.08717688798783577,0.7288135593220338,0.0553889943617365
es_btc_discordam_mnq + open_d_acima_d_ant_cl + above_sma50_mnq,153,0.3333333333333333,0.08717688798783577,0.7450980392156863,0.07167347425538895
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_ema20_es,174,0.3333333333333333,0.08717688798783577,0.7758620689655172,0.10243750400521989
es_mnq_oposto + open_1h_acima_close_ant_es + above_sma50_mnq,214,0.3317757009345794,0.08561925558908187,0.7616822429906542,0.08825767803035689
rsi_cl_acima_60 + open_1h_acima_close_ant_cl + is_evening,175,0.3314285714285714,0.08527212608307386,0.7542857142857143,0.08086114932541699
rsi_mnq_acima_60 + rsi_cl_abaixo_40 + open_1h_acima_close_ant_es,145,0.3310344827586207,0.08487803741312314,0.7448275862068966,0.07140302124659925
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + open_w_acima_w_ant_mnq,139,0.33093525179856115,0.0847788064530636,0.7769784172661871,0.10355385230588976
es_btc_discordam_mnq + open_4h_acima_4h_ant_mnq + open_w_acima_w_ant_mnq,124,0.33064516129032256,0.08448871594482502,0.7096774193548387,0.0362528543945414
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + open_w_acima_w_ant_mnq,124,0.33064516129032256,0.08448871594482502,0.7016129032258065,0.02818833826550915
es_mnq_oposto + open_d_acima_d_ant_cl + above_sma50_mnq,333,0.3303303303303303,0.08417388498483278,0.7537537537537538,0.08032918879345641
es_btc_discordam_mnq + open_d_acima_d_ant_cl + is_us,106,0.330188679245283,0.08403223389978545,0.7924528301886793,0.11902826522838195
es_btc_discordam_mnq + open_d_acima_d_ant_btc + open_w_acima_w_ant_es,100,0.33,0.08384355465450247,0.7,0.02657543503970261
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + above_sma50_btc,100,0.33,0.08384355465450247,0.75,0.07657543503970266
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + adx_es_alto,246,0.32926829268292684,0.0831118473374293,0.7357723577235772,0.06234779276327984
es_btc_discordam_mnq + open_d_acima_d_ant_cl + above_ema20_mnq,137,0.3284671532846715,0.08231070793917397,0.7226277372262774,0.04920317226598003
es_btc_discordam_mnq + open_4h_acima_4h_ant_btc + is_us,131,0.3282442748091603,0.08208782946366275,0.6717557251908397,-0.0016688397694576418
es_btc_discordam_mnq + rsi_mnq_acima_60 + above_ema20_btc,119,0.3277310924369748,0.08157464709147724,0.7647058823529411,0.09128131739264378
es_mnq_oposto + above_sma50_es + is_us,342,0.32748538011695905,0.0813289347714615,0.7514619883040936,0.07803742334379626
es_mnq_oposto + rsi_mnq_acima_60 + rsi_cl_abaixo_40,55,0.32727272727272727,0.08111628192722972,0.6909090909090909,0.017484525948793572
es_mnq_oposto + open_1h_acima_close_ant_es + above_ema20_cl,165,0.32727272727272727,0.08111628192722972,0.7575757575757576,0.08415119261546022
es_mnq_oposto + open_1h_acima_close_ant_cl + open_d_acima_d_ant_cl,208,0.3269230769230769,0.08076663157757938,0.7067307692307693,0.03330620427047193
es_btc_discordam_mnq + open_4h_acima_4h_ant_btc + open_d_acima_d_ant_mnq,153,0.32679738562091504,0.08064094027541749,0.7516339869281046,0.07820942196780722
es_mnq_oposto + open_d_acima_d_ant_es + above_sma50_cl,288,0.3263888888888889,0.08023244354339135,0.7118055555555556,0.038380990595258235
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + above_ema20_btc,92,0.32608695652173914,0.07993051117624159,0.7608695652173914,0.08744500025709401
es_btc_discordam_mnq + open_4h_acima_4h_ant_cl + open_d_acima_d_ant_es,132,0.32575757575757575,0.0796011304120782,0.7045454545454546,0.03112088958515724
es_mnq_oposto + open_d_acima_d_ant_cl + open_w_acima_w_ant_mnq,212,0.32547169811320753,0.07931525276770998,0.7075471698113207,0.034122604851023364
es_mnq_oposto + rsi_cl_acima_60 + open_d_acima_d_ant_es,123,0.3252032520325203,0.07904680668702277,0.7317073170731707,0.05828275211287337
es_btc_discordam_mnq + rsi_cl_acima_60 + is_asia,40,0.325,0.07884355465450246,0.75,0.07657543503970266
es_mnq_oposto + rsi_mnq_acima_60 + open_w_acima_w_ant_es,117,0.3247863247863248,0.07862987944082725,0.7264957264957265,0.05307116153542912
es_mnq_oposto + above_sma50_mnq + is_us,348,0.32471264367816094,0.07855619833266339,0.7528735632183908,0.07944899825809348
es_mnq_oposto + open_d_acima_d_ant_mnq + is_us,256,0.32421875,0.07806230465450245,0.73828125,0.06485668503970266
es_mnq_oposto + rsi_mnq_acima_60 + open_w_acima_w_ant_mnq,142,0.323943661971831,0.07778721662633345,0.7253521126760564,0.051927547715759026
es_btc_discordam_mnq + rsi_mnq_acima_60 + open_w_acima_w_ant_mnq,65,0.3230769230769231,0.07692047773142555,0.7230769230769231,0.04965235811662572
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + adx_cl_alto,254,0.3228346456692913,0.07667820032379377,0.7322834645669292,0.05885889960663182
es_btc_discordam_mnq + rsi_mnq_acima_60 + above_sma50_btc,124,0.3225806451612903,0.07642419981579276,0.7419354838709677,0.0685109189106704
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + is_asia,124,0.3225806451612903,0.07642419981579276,0.7661290322580645,0.09270446729776716
es_btc_discordam_mnq + open_d_acima_d_ant_es + above_sma50_mnq,180,0.32222222222222224,0.0760657768767247,0.7555555555555555,0.08213099059525819
es_mnq_oposto + open_d_acima_d_ant_btc + above_ema20_es,357,0.32212885154061627,0.07597240619511872,0.7338935574229691,0.06046899246267179
es_mnq_oposto + open_d_acima_d_ant_btc + above_sma50_es,382,0.3219895287958115,0.07583308345031395,0.743455497382199,0.07003093242190161
es_mnq_oposto + open_d_acima_d_ant_mnq + above_sma50_cl,292,0.3219178082191781,0.07576136287368054,0.7123287671232876,0.03890420216299029
es_btc_discordam_mnq + open_d_acima_d_ant_cl + above_sma50_es,143,0.32167832167832167,0.07552187633282412,0.7342657342657343,0.060841169305436926
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + above_sma50_mnq,199,0.32160804020100503,0.07545159485550748,0.7638190954773869,0.09039453051708957
es_mnq_oposto + open_1h_acima_close_ant_mnq + open_d_acima_d_ant_cl,227,0.32158590308370044,0.07542945773820289,0.7400881057268722,0.06666354076657488
