asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
mgc,7509,1081,5346,1082,14.4,0.004,0.004,0.33,1568.1,0.2,0.5,3.0,16,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3924,558,2592,774,14.2,-0.002,-0.002,-0.14,819.5,0.2,0.5,3.0,16,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3585,523,2754,308,14.6,0.011,0.011,0.63,748.7,0.2,0.5,3.0,16,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,6919,1042,4902,975,15.1,0.027,0.027,2.25,1444.9,0.3,0.5,3.0,16,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3593,535,2355,703,14.9,0.021,0.021,1.27,750.3,0.3,0.5,3.0,16,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3326,507,2547,272,15.2,0.034,0.034,1.93,694.6,0.3,0.5,3.0,16,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3982,686,2695,601,17.2,0.103,0.103,6.5,831.6,0.4,0.5,3.0,16,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,1912,330,1154,428,17.3,0.104,0.104,4.55,399.3,0.4,0.5,3.0,16,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,2070,356,1541,173,17.2,0.102,0.102,4.64,432.3,0.4,0.5,3.0,16,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,1604,310,1011,283,19.3,0.176,0.176,7.07,335.0,0.5,0.5,3.0,16,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,675,128,359,188,19.0,0.164,0.164,4.25,141.0,0.5,0.5,3.0,16,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,929,182,652,95,19.6,0.186,0.186,5.66,194.0,0.5,0.5,3.0,16,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,7542,1346,5612,584,17.8,0.125,0.125,10.82,1575.0,0.0,0.5,3.0,24,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3944,741,2749,454,18.8,0.158,0.158,9.9,823.6,0.0,0.5,3.0,24,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3598,605,2863,130,16.8,0.089,0.089,5.31,751.4,0.0,0.5,3.0,24,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,7542,1346,5612,584,17.8,0.125,0.125,10.82,1575.0,0.1,0.5,3.0,24,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3944,741,2749,454,18.8,0.158,0.158,9.9,823.6,0.1,0.5,3.0,24,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3598,605,2863,130,16.8,0.089,0.089,5.31,751.4,0.1,0.5,3.0,24,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,7509,1342,5584,583,17.9,0.126,0.126,10.88,1568.1,0.2,0.5,3.0,24,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3924,737,2734,453,18.8,0.157,0.157,9.86,819.5,0.2,0.5,3.0,24,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3585,605,2850,130,16.9,0.091,0.091,5.43,748.7,0.2,0.5,3.0,24,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,6919,1271,5101,547,18.4,0.143,0.143,11.89,1444.9,0.3,0.5,3.0,24,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3593,695,2477,421,19.3,0.177,0.177,10.61,750.3,0.3,0.5,3.0,24,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3326,576,2624,126,17.3,0.106,0.106,6.12,694.6,0.3,0.5,3.0,24,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3982,796,2809,377,20.0,0.2,0.2,12.6,831.6,0.4,0.5,3.0,24,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,1912,407,1225,280,21.3,0.245,0.245,10.71,399.3,0.4,0.5,3.0,24,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,2070,389,1584,97,18.8,0.158,0.158,7.18,432.3,0.4,0.5,3.0,24,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,1604,352,1054,198,21.9,0.268,0.268,10.74,335.0,0.5,0.5,3.0,24,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,675,153,384,138,22.7,0.293,0.293,7.62,141.0,0.5,0.5,3.0,24,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,929,199,670,60,21.4,0.25,0.25,7.61,194.0,0.5,0.5,3.0,24,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,7542,3261,3316,965,43.2,0.007,0.007,0.58,1575.0,0.0,0.75,1.0,6,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3944,1760,1558,626,44.6,0.031,0.031,1.94,823.6,0.0,0.75,1.0,6,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3598,1501,1758,339,41.7,-0.02,-0.02,-1.2,751.4,0.0,0.75,1.0,6,short,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,7542,3261,3316,965,43.2,0.007,0.007,0.58,1575.0,0.1,0.75,1.0,6,both,"8,9,10,11,12,13,14,15,16,17,18,19,20"
mgc,3944,1760,1558,626,44.6,0.031,0.031,1.94,823.6,0.1,0.75,1.0,6,long,"8,9,10,11,12,13,14,15,16,17,18,19,20"
