asset,trades,w,l,e,wr,avg,ev,score,trades_ano,ml_c,stop,targ,bars,dir,hours
es,1773,867,806,100,48.9,0.223,0.223,9.37,370.5,0.3,1.0,1.5,16,long,"0,4,8,12,16,20"
es,1444,715,681,48,49.5,0.238,0.238,9.04,301.7,0.3,1.0,1.5,16,short,"0,4,8,12,16,20"
es,1406,776,577,53,55.2,0.38,0.38,14.24,293.8,0.4,1.0,1.5,16,both,"0,4,8,12,16,20"
es,716,409,270,37,57.1,0.428,0.428,11.45,149.6,0.4,1.0,1.5,16,long,"0,4,8,12,16,20"
es,690,367,307,16,53.2,0.33,0.33,8.66,144.2,0.4,1.0,1.5,16,short,"0,4,8,12,16,20"
es,357,240,104,13,67.2,0.681,0.681,12.86,74.6,0.5,1.0,1.5,16,both,"0,4,8,12,16,20"
es,173,125,37,11,72.3,0.806,0.806,10.61,36.1,0.5,1.0,1.5,16,long,"0,4,8,12,16,20"
es,184,115,67,2,62.5,0.562,0.562,7.63,38.4,0.5,1.0,1.5,16,short,"0,4,8,12,16,20"
es,3808,1894,1863,51,49.7,0.243,0.243,15.02,795.7,0.0,1.0,1.5,24,both,"0,4,8,12,16,20"
es,2106,1052,1013,41,50.0,0.249,0.249,11.42,440.1,0.0,1.0,1.5,24,long,"0,4,8,12,16,20"
es,1702,842,850,10,49.5,0.237,0.237,9.77,355.6,0.0,1.0,1.5,24,short,"0,4,8,12,16,20"
es,3808,1894,1863,51,49.7,0.243,0.243,15.02,795.7,0.1,1.0,1.5,24,both,"0,4,8,12,16,20"
es,2106,1052,1013,41,50.0,0.249,0.249,11.42,440.1,0.1,1.0,1.5,24,long,"0,4,8,12,16,20"
es,1702,842,850,10,49.5,0.237,0.237,9.77,355.6,0.1,1.0,1.5,24,short,"0,4,8,12,16,20"
es,3791,1890,1851,50,49.9,0.246,0.246,15.17,792.1,0.2,1.0,1.5,24,both,"0,4,8,12,16,20"
es,2098,1050,1008,40,50.0,0.251,0.251,11.51,438.4,0.2,1.0,1.5,24,long,"0,4,8,12,16,20"
es,1693,840,843,10,49.6,0.24,0.24,9.89,353.8,0.2,1.0,1.5,24,short,"0,4,8,12,16,20"
es,3217,1640,1537,40,51.0,0.274,0.274,15.57,672.2,0.3,1.0,1.5,24,both,"0,4,8,12,16,20"
es,1773,908,832,33,51.2,0.28,0.28,11.8,370.5,0.3,1.0,1.5,24,long,"0,4,8,12,16,20"
es,1444,732,705,7,50.7,0.267,0.267,10.16,301.7,0.3,1.0,1.5,24,short,"0,4,8,12,16,20"
es,1406,797,590,19,56.7,0.417,0.417,15.64,293.8,0.4,1.0,1.5,24,both,"0,4,8,12,16,20"
es,716,423,277,16,59.1,0.477,0.477,12.76,149.6,0.4,1.0,1.5,24,long,"0,4,8,12,16,20"
es,690,374,313,3,54.2,0.355,0.355,9.33,144.2,0.4,1.0,1.5,24,short,"0,4,8,12,16,20"
es,357,245,106,6,68.6,0.716,0.716,13.52,74.6,0.5,1.0,1.5,24,both,"0,4,8,12,16,20"
es,173,129,38,6,74.6,0.864,0.864,11.37,36.1,0.5,1.0,1.5,24,long,"0,4,8,12,16,20"
es,184,116,68,0,63.0,0.576,0.576,7.81,38.4,0.5,1.0,1.5,24,short,"0,4,8,12,16,20"
es,3808,823,1346,1639,21.6,-0.352,-0.352,-21.7,795.7,0.0,1.0,2.0,6,both,"0,4,8,12,16,20"
es,2106,383,673,1050,18.2,-0.454,-0.454,-20.85,440.1,0.0,1.0,2.0,6,long,"0,4,8,12,16,20"
es,1702,440,673,589,25.9,-0.224,-0.224,-9.26,355.6,0.0,1.0,2.0,6,short,"0,4,8,12,16,20"
es,3808,823,1346,1639,21.6,-0.352,-0.352,-21.7,795.7,0.1,1.0,2.0,6,both,"0,4,8,12,16,20"
es,2106,383,673,1050,18.2,-0.454,-0.454,-20.85,440.1,0.1,1.0,2.0,6,long,"0,4,8,12,16,20"
es,1702,440,673,589,25.9,-0.224,-0.224,-9.26,355.6,0.1,1.0,2.0,6,short,"0,4,8,12,16,20"
es,3791,823,1346,1622,21.7,-0.349,-0.349,-21.47,792.1,0.2,1.0,2.0,6,both,"0,4,8,12,16,20"
es,2098,383,673,1042,18.3,-0.452,-0.452,-20.72,438.4,0.2,1.0,2.0,6,long,"0,4,8,12,16,20"
es,1693,440,673,580,26.0,-0.22,-0.22,-9.07,353.8,0.2,1.0,2.0,6,short,"0,4,8,12,16,20"
es,3217,781,1238,1198,24.3,-0.272,-0.272,-15.41,672.2,0.3,1.0,2.0,6,both,"0,4,8,12,16,20"
es,1773,365,622,786,20.6,-0.382,-0.382,-16.1,370.5,0.3,1.0,2.0,6,long,"0,4,8,12,16,20"
es,1444,416,616,412,28.8,-0.136,-0.136,-5.16,301.7,0.3,1.0,2.0,6,short,"0,4,8,12,16,20"
es,1406,465,524,417,33.1,-0.008,-0.008,-0.29,293.8,0.4,1.0,2.0,6,both,"0,4,8,12,16,20"
es,716,215,243,258,30.0,-0.099,-0.099,-2.65,149.6,0.4,1.0,2.0,6,long,"0,4,8,12,16,20"
es,690,250,281,159,36.2,0.087,0.087,2.28,144.2,0.4,1.0,2.0,6,short,"0,4,8,12,16,20"
es,357,128,90,139,35.9,0.076,0.076,1.43,74.6,0.5,1.0,2.0,6,both,"0,4,8,12,16,20"
es,173,59,30,84,34.1,0.023,0.023,0.3,36.1,0.5,1.0,2.0,6,long,"0,4,8,12,16,20"
es,184,69,60,55,37.5,0.125,0.125,1.7,38.4,0.5,1.0,2.0,6,short,"0,4,8,12,16,20"
es,3808,973,1499,1336,25.6,-0.233,-0.233,-14.41,795.7,0.0,1.0,2.0,8,both,"0,4,8,12,16,20"
es,2106,467,768,871,22.2,-0.335,-0.335,-15.36,440.1,0.0,1.0,2.0,8,long,"0,4,8,12,16,20"
